threshold,start,end
0.01,2024-02-05 12:24:24.296166+09:00,2024-02-05 12:24:24.933539+09:00
0.03,2024-02-05 12:24:24.296166+09:00,2024-02-05 12:24:24.843884+09:00
0.05,2024-02-05 12:24:24.431330+09:00,2024-02-05 12:24:24.828823+09:00
0.07,2024-02-05 12:24:24.431330+09:00,2024-02-05 12:24:24.798872+09:00
0.09,2024-02-05 12:24:24.453789+09:00,2024-02-05 12:24:24.768888+09:00
0.11,2024-02-05 12:24:24.453789+09:00,2024-02-05 12:24:24.768888+09:00
0.13,2024-02-05 12:24:24.453789+09:00,2024-02-05 12:24:24.768888+09:00
0.15,2024-02-05 12:24:24.513595+09:00,2024-02-05 12:24:24.768888+09:00
0.17,2024-02-05 12:24:24.513595+09:00,2024-02-05 12:24:24.731019+09:00
0.19,2024-02-05 12:24:24.513595+09:00,2024-02-05 12:24:24.731019+09:00
0.21,2024-02-05 12:24:24.513595+09:00,2024-02-05 12:24:24.731019+09:00
