threshold,start,end
0.01,2024-02-05 12:25:22.466149+09:00,2024-02-05 12:25:23.096127+09:00
0.03,2024-02-05 12:25:22.466149+09:00,2024-02-05 12:25:23.065982+09:00
0.05,2024-02-05 12:25:22.466149+09:00,2024-02-05 12:25:23.050794+09:00
0.07,2024-02-05 12:25:22.510757+09:00,2024-02-05 12:25:22.953410+09:00
0.09,2024-02-05 12:25:22.526008+09:00,2024-02-05 12:25:22.953410+09:00
0.11,2024-02-05 12:25:22.526008+09:00,2024-02-05 12:25:22.833157+09:00
0.13,2024-02-05 12:25:22.540985+09:00,2024-02-05 12:25:22.833157+09:00
0.15,2024-02-05 12:25:22.540985+09:00,2024-02-05 12:25:22.646181+09:00
0.17,2024-02-05 12:25:22.555710+09:00,2024-02-05 12:25:22.646181+09:00
0.19,2024-02-05 12:25:22.555710+09:00,2024-02-05 12:25:22.646181+09:00
0.21,2024-02-05 12:25:22.555710+09:00,2024-02-05 12:25:22.646181+09:00
