threshold,start,end
0.01,2024-02-05 12:24:08.966393+09:00,2024-02-05 12:24:09.708640+09:00
0.03,2024-02-05 12:24:09.026401+09:00,2024-02-05 12:24:09.581179+09:00
0.05,2024-02-05 12:24:09.048698+09:00,2024-02-05 12:24:09.573942+09:00
0.07,2024-02-05 12:24:09.078806+09:00,2024-02-05 12:24:09.529201+09:00
0.09,2024-02-05 12:24:09.093939+09:00,2024-02-05 12:24:09.529201+09:00
0.11,2024-02-05 12:24:09.116404+09:00,2024-02-05 12:24:09.529201+09:00
0.13,2024-02-05 12:24:09.124001+09:00,2024-02-05 12:24:09.529201+09:00
0.15,2024-02-05 12:24:09.124001+09:00,2024-02-05 12:24:09.483701+09:00
0.17,2024-02-05 12:24:09.124001+09:00,2024-02-05 12:24:09.468875+09:00
0.19,2024-02-05 12:24:09.131457+09:00,2024-02-05 12:24:09.416239+09:00
0.21,2024-02-05 12:24:09.131457+09:00,2024-02-05 12:24:09.401630+09:00
