Time 2023-12-04 12:45:38.796763, yaw 9, pitch -11, roll 17
Time 2023-12-04 12:45:39.047909, yaw 9, pitch -12, roll 18
Time 2023-12-04 12:45:39.147934, yaw 9, pitch -11, roll 18
Time 2023-12-04 12:45:39.242389, yaw 8, pitch -12, roll 18
Time 2023-12-04 12:45:39.340497, yaw 10, pitch -10, roll 18
Time 2023-12-04 12:45:39.477705, yaw 10, pitch -11, roll 18
Time 2023-12-04 12:45:39.576644, yaw 10, pitch -10, roll 18
Time 2023-12-04 12:45:39.673208, yaw 9, pitch -11, roll 18
Time 2023-12-04 12:45:39.778353, yaw 8, pitch -10, roll 18
Time 2023-12-04 12:45:39.874277, yaw 10, pitch -12, roll 18
Time 2023-12-04 12:45:39.976382, yaw 11, pitch -10, roll 17
Time 2023-12-04 12:45:40.082856, yaw 9, pitch -14, roll 18
Time 2023-12-04 12:45:40.180322, yaw 10, pitch -10, roll 18
Time 2023-12-04 12:45:40.276327, yaw 9, pitch -13, roll 18
Time 2023-12-04 12:45:40.379227, yaw 10, pitch -12, roll 18
Time 2023-12-04 12:45:40.478911, yaw 12, pitch -10, roll 19
Time 2023-12-04 12:45:40.575178, yaw 9, pitch -14, roll 18
Time 2023-12-04 12:45:40.677524, yaw 10, pitch -11, roll 18
Time 2023-12-04 12:45:40.776643, yaw 10, pitch -13, roll 18
Time 2023-12-04 12:45:40.880481, yaw 10, pitch -13, roll 17
Time 2023-12-04 12:45:40.975500, yaw 10, pitch -11, roll 18
Time 2023-12-04 12:45:41.076718, yaw 7, pitch -13, roll 18
Time 2023-12-04 12:45:41.174728, yaw 11, pitch -11, roll 18
Time 2023-12-04 12:45:41.277313, yaw 10, pitch -11, roll 18
Time 2023-12-04 12:45:41.375908, yaw 9, pitch -13, roll 18
Time 2023-12-04 12:45:41.473932, yaw 9, pitch -13, roll 18
Time 2023-12-04 12:45:41.577096, yaw 10, pitch -12, roll 18
Time 2023-12-04 12:45:41.677362, yaw 10, pitch -12, roll 18
Time 2023-12-04 12:45:41.777548, yaw 11, pitch -10, roll 18
Time 2023-12-04 12:45:41.874381, yaw 9, pitch -12, roll 17
Time 2023-12-04 12:45:41.974592, yaw 10, pitch -12, roll 18
Time 2023-12-04 12:45:42.075235, yaw 11, pitch -11, roll 18
Time 2023-12-04 12:45:42.171800, yaw 9, pitch -12, roll 18
Time 2023-12-04 12:45:42.278404, yaw 10, pitch -11, roll 18
Time 2023-12-04 12:45:42.377388, yaw 11, pitch -10, roll 18
Time 2023-12-04 12:45:42.475052, yaw 10, pitch -10, roll 18
Time 2023-12-04 12:45:42.576760, yaw 11, pitch -12, roll 17
Time 2023-12-04 12:45:42.675342, yaw 11, pitch -11, roll 18
Time 2023-12-04 12:45:42.774831, yaw 10, pitch -9, roll 19
Time 2023-12-04 12:45:42.877260, yaw 11, pitch -10, roll 18
Time 2023-12-04 12:45:42.975106, yaw 10, pitch -10, roll 17
Time 2023-12-04 12:45:43.074322, yaw 10, pitch -12, roll 18
Time 2023-12-04 12:45:43.474824, yaw 11, pitch -9, roll 18
Time 2023-12-04 12:45:43.574047, yaw 10, pitch -12, roll 17
Time 2023-12-04 12:45:43.675075, yaw 10, pitch -11, roll 16
Time 2023-12-04 12:45:43.773323, yaw 10, pitch -11, roll 18
Time 2023-12-04 12:45:43.972965, yaw 11, pitch -11, roll 17
Time 2023-12-04 12:45:44.074431, yaw 12, pitch -9, roll 18
Time 2023-12-04 12:45:44.174393, yaw 9, pitch -11, roll 17
Time 2023-12-04 12:45:44.274648, yaw 11, pitch -10, roll 18
Time 2023-12-04 12:45:44.371184, yaw 10, pitch -12, roll 17
Time 2023-12-04 12:45:44.473296, yaw 11, pitch -11, roll 17
Time 2023-12-04 12:45:44.575178, yaw 10, pitch -11, roll 18
Time 2023-12-04 12:45:44.675102, yaw 10, pitch -10, roll 18
Time 2023-12-04 12:45:44.775330, yaw 11, pitch -12, roll 18
Time 2023-12-04 12:45:45.476013, yaw 10, pitch -9, roll 12
Time 2023-12-04 12:45:45.575487, yaw 9, pitch -12, roll 5
Time 2023-12-04 12:45:45.674425, yaw 9, pitch -15, roll 0
Time 2023-12-04 12:45:45.769745, yaw 9, pitch -17, roll -3
Time 2023-12-04 12:45:45.871006, yaw 9, pitch -19, roll -8
Time 2023-12-04 12:45:46.240595, yaw 10, pitch -14, roll -7
Time 2023-12-04 12:45:46.340449, yaw 15, pitch -10, roll -6
Time 2023-12-04 12:45:46.439534, yaw 13, pitch -11, roll -6
Time 2023-12-04 12:54:09.419239, yaw 11, pitch -23, roll -1
Time 2023-12-04 12:54:09.750033, yaw 13, pitch -25, roll -1
Time 2023-12-04 12:54:09.978895, yaw 15, pitch -23, roll 0
Time 2023-12-04 12:54:10.080462, yaw 17, pitch -21, roll 0
Time 2023-12-04 12:54:10.313450, yaw 15, pitch -23, roll 0
Time 2023-12-04 12:54:10.615716, yaw 14, pitch -26, roll 0
Time 2023-12-04 12:54:10.718975, yaw 12, pitch -25, roll 0
Time 2023-12-04 12:54:11.910426, yaw 12, pitch 0, roll 2
Time 2023-12-04 12:54:12.047780, yaw 8, pitch -7, roll 3
Time 2023-12-04 12:54:12.175921, yaw 8, pitch -11, roll 1
Time 2023-12-04 12:54:12.314352, yaw 5, pitch -9, roll 1
Time 2023-12-04 12:54:12.442919, yaw 4, pitch -8, roll 1
Time 2023-12-04 12:54:12.580246, yaw 2, pitch -9, roll 2
Time 2023-12-04 12:54:12.679303, yaw 4, pitch -8, roll 2
Time 2023-12-04 12:54:12.809166, yaw 2, pitch -8, roll 2
