Time 2023-11-27 13:08:20.678844, yaw 4, pitch -9, roll 0
Time 2023-11-27 13:08:20.879925, yaw -20, pitch -9, roll 1
Time 2023-11-27 13:08:21.011909, yaw -3, pitch -6, roll -3
Time 2023-11-27 13:08:21.148503, yaw -1, pitch 13, roll 173
Time 2023-11-27 13:08:21.211114, yaw 0, pitch 11, roll 174
Time 2023-11-27 13:08:21.276692, yaw -10, pitch 1, roll 173
Time 2023-11-27 13:08:21.353378, yaw -3, pitch -4, roll -6
Time 2023-11-27 13:08:21.414887, yaw 0, pitch -4, roll -4
Time 2023-11-27 13:08:21.477461, yaw 0, pitch -8, roll -3
Time 2023-11-27 13:08:21.541179, yaw 2, pitch -5, roll -4
Time 2023-11-27 13:08:21.613615, yaw 1, pitch -4, roll -4
Time 2023-11-27 13:08:21.690074, yaw -1, pitch 1, roll -5
Time 2023-11-27 13:08:21.753303, yaw -5, pitch 4, roll 172
Time 2023-11-27 13:08:21.820104, yaw -1, pitch 1, roll -4
Time 2023-11-27 13:08:21.885425, yaw 1, pitch -3, roll -3
Time 2023-11-27 13:08:21.954025, yaw 4, pitch -2, roll -4
Time 2023-11-27 13:08:22.006885, yaw 7, pitch -3, roll -3
Time 2023-11-27 13:08:22.078544, yaw 0, pitch 3, roll -1
Time 2023-11-27 13:08:24.519069, yaw 29, pitch -15, roll -14
Time 2023-11-27 13:08:24.661166, yaw 24, pitch -12, roll -10
Time 2023-11-27 13:08:24.711688, yaw 26, pitch -1, roll -7
Time 2023-11-27 13:08:24.788255, yaw 23, pitch -2, roll -7
Time 2023-11-27 13:08:24.858788, yaw 19, pitch -2, roll -5
Time 2023-11-27 13:08:24.910512, yaw 15, pitch -3, roll -5
Time 2023-11-27 13:08:24.975045, yaw 2, pitch -7, roll 173
Time 2023-11-27 13:08:25.039723, yaw 1, pitch -7, roll 174
Time 2023-11-27 13:08:25.106553, yaw 13, pitch -2, roll -5
Time 2023-11-27 13:08:25.185307, yaw 14, pitch -1, roll -5
Time 2023-11-27 13:08:25.253775, yaw 13, pitch -3, roll -5
Time 2023-11-27 13:08:25.310944, yaw 13, pitch -1, roll -5
Time 2023-11-27 13:08:25.382346, yaw 4, pitch -4, roll 172
Time 2023-11-27 13:08:25.454881, yaw 19, pitch 2, roll -7
Time 2023-11-27 13:08:25.512750, yaw 1, pitch -13, roll 170
Time 2023-11-27 13:08:26.852871, yaw 0, pitch -6, roll -6
Time 2023-11-27 13:08:26.924109, yaw 0, pitch 1, roll -6
Time 2023-11-27 13:08:26.982283, yaw 0, pitch 0, roll -5
Time 2023-11-27 13:08:27.043130, yaw 3, pitch -5, roll -5
Time 2023-11-27 13:08:27.120216, yaw 3, pitch -4, roll -4
